Channel,Energy (keV),Counts
925,376.348545,172
926,376.75216,150
927,377.155775,190
928,377.55939,159
929,377.963005,178
930,378.36662,160
931,378.770235,165
932,379.17385,164
933,379.577465,148
934,379.98108,165
935,380.384695,131
936,380.78831,169
937,381.191925,168
938,381.59554,130
939,381.999155,170
940,382.40277,147
941,382.806385,134
942,383.21,138
943,383.613615,148
944,384.01723,158
945,384.420845,152
946,384.82446,134
947,385.228075,147
948,385.63169,155
949,386.035305,133
950,386.43892,140
951,386.842535,141
952,387.24615,159
953,387.649765,128
954,388.05338,139
955,388.456995,157
956,388.86061,121
957,389.264225,127
958,389.66784,172
959,390.071455,131
960,390.47507,119
961,390.878685,140
962,391.2823,151
963,391.685915,120
964,392.08953,129
965,392.493145,140
966,392.89676,164
967,393.300375,135
968,393.70399,115
969,394.107605,141
970,394.51122,130
971,394.914835,136
972,395.31845,139
973,395.722065,123
974,396.12568,108
975,396.529295,120
976,396.93291,138
977,397.336525,134
978,397.74014,137
979,398.143755,136
980,398.54737,120
981,398.950985,145
982,399.3546,143
983,399.758215,126
984,400.16183,127
985,400.565445,130
986,400.96906,115
987,401.372675,134
988,401.77629,122
989,402.179905,133
990,402.58352,123
991,402.987135,120
992,403.39075,121
993,403.794365,115
994,404.19798,115
995,404.601595,133
996,405.00521,129
997,405.408825,116
998,405.81244,137
999,406.216055,135
1000,406.61967,140
1001,407.023285,114
1002,407.4269,106
1003,407.830515,112
1004,408.23413,134
1005,408.637745,131
1006,409.04136,120
1007,409.444975,119
1008,409.84859,108
1009,410.252205,121
1010,410.65582,116
1011,411.059435,135
1012,411.46305,118
1013,411.866665,121
1014,412.27028,152
1015,412.673895,120
1016,413.07751,106
1017,413.481125,108
1018,413.88474,125
1019,414.288355,119
1020,414.69197,103
1021,415.095585,106
1022,415.4992,112
1023,415.902815,108
1024,416.30643,124
1025,416.710045,104
1026,417.11366,126
1027,417.517275,143
1028,417.92089,106
1029,418.324505,120
1030,418.72812,115
1031,419.131735,107
1032,419.53535,128
1033,419.938965,117
1034,420.34258,107
1035,420.746195,111
1036,421.14981,126
1037,421.553425,118
1038,421.95704,121
1039,422.360655,129
1040,422.76427,118
1041,423.167885,101
1042,423.5715,119
1043,423.975115,118
1044,424.37873,101
1045,424.782345,101
1046,425.18596,119
1047,425.589575,116
1048,425.99319,122
1049,426.396805,103
1050,426.80042,89
1051,427.204035,116
1052,427.60765,99
1053,428.011265,109
1054,428.41488,111
1055,428.818495,101
1056,429.22211,109
1057,429.625725,118
1058,430.02934,114
1059,430.432955,105
1060,430.83657,129
1061,431.240185,126
1062,431.6438,104
1063,432.047415,113
1064,432.45103,120
1065,432.854645,122
1066,433.25826,105
1067,433.661875,111
1068,434.06549,97
1069,434.469105,96
1070,434.87272,102
1071,435.276335,104
1072,435.67995,104
1073,436.083565,102
1074,436.48718,96
1075,436.890795,102
1076,437.29441,125
1077,437.698025,100
1078,438.10164,93
1079,438.505255,121
1080,438.90887,118
1081,439.312485,100
1082,439.7161,108
1083,440.119715,104
1084,440.52333,94
1085,440.926945,99
1086,441.33056,105
1087,441.734175,107
1088,442.13779,102
1089,442.541405,100
1090,442.94502,88
1091,443.348635,121
1092,443.75225,97
1093,444.155865,90
1094,444.55948,102
1095,444.963095,108
1096,445.36671,105
1097,445.770325,114
1098,446.17394,103
1099,446.577555,98
1100,446.98117,103
1101,447.384785,95
1102,447.7884,100
1103,448.192015,111
1104,448.59563,100
1105,448.999245,107
1106,449.40286,113
1107,449.806475,83
1108,450.21009,79
1109,450.613705,109
1110,451.01732,106
1111,451.420935,83
1112,451.82455,100
1113,452.228165,86
1114,452.63178,97
1115,453.035395,82
1116,453.43901,107
1117,453.842625,112
1118,454.24624,82
1119,454.649855,105
1120,455.05347,104
1121,455.457085,102
1122,455.8607,83
1123,456.264315,72
1124,456.66793,92
1125,457.071545,81
1126,457.47516,98
1127,457.878775,102
1128,458.28239,93
1129,458.686005,106
1130,459.08962,86
1131,459.493235,70
1132,459.89685,73
1133,460.300465,90
